Sample	Frequency	Magnitude	Phase	Marker	Timestamp
240	6428.073	77.05735	-6.924655	 	20:34:15
241	6734.151	76.85931	-6.78721	 	20:34:16
242	7054.802	76.68584	-6.624657	 	20:34:16
243	7390.722	76.51105	-6.489777	 	20:34:16
244	7742.637	76.25642	-6.425199	 	20:34:16
245	8111.308	76.01001	-6.239527	 	20:34:16
246	8497.534	75.82722	-6.134196	 	20:34:16
247	8902.15	75.56853	-6.018868	 	20:34:17
248	9326.033	75.36319	-5.908889	 	20:34:17
249	9770.1	75.14659	-5.773852	 	20:34:17
250	10235.31	74.93024	-5.68957	 	20:34:17
251	10722.67	74.75927	-5.527387	 	20:34:17
252	11233.24	74.50215	-5.424807	 	20:34:17
253	11768.12	74.28676	-5.311402	 	20:34:18
254	12328.47	74.0463	-5.196366	 	20:34:18
255	12915.5	73.84006	-5.08524	 	20:34:18
256	13530.48	73.59738	-4.955952	 	20:34:18
257	14174.74	73.33356	-4.866064	 	20:34:18
258	14849.68	73.08774	-4.723855	 	20:34:18
259	15556.76	72.87057	-4.593834	 	20:34:19
260	16297.51	72.6426	-4.461934	 	20:34:19
261	17073.53	72.41796	-4.321109	 	20:34:19
262	17886.5	72.18032	-4.187818	 	20:34:19
263	18738.17	71.90639	-4.016881	 	20:34:19
264	19630.41	71.64526	-3.84593	 	20:34:19
265	20565.12	71.37459	-3.689292	 	20:34:20
266	21544.35	71.19391	-3.524519	 	20:34:20
267	22570.2	70.91737	-3.322513	 	20:34:20
268	23644.89	70.64425	-3.189866	 	20:34:20
269	24770.76	70.44754	-2.938215	 	20:34:20
270	25950.24	70.19986	-2.771831	 	20:34:20
271	27185.88	69.98679	-2.496191	 	20:34:21
272	28480.36	69.78407	-2.262323	 	20:34:21
273	29836.47	69.54634	-2.038551	 	20:34:21
274	31257.16	69.33463	-1.773571	 	20:34:21
275	32745.49	69.10588	-1.529728	 	20:34:21
276	34304.69	68.90958	-1.24109	 	20:34:21
277	35938.14	68.62183	-0.9296991	 	20:34:22
278	37649.36	68.45195	-0.6284859	 	20:34:22
279	39442.06	68.23466	-0.2993025	 	20:34:22
280	41320.12	68.04852	0.06260744	 	20:34:22
281	43287.61	67.82534	0.4390068	 	20:34:22
282	45348.79	67.62641	0.8343549	 	20:34:22
283	47508.1	67.44279	1.222824	 	20:34:22
284	49770.23	67.24368	1.638828	 	20:34:23
285	52140.08	67.06158	2.125766	 	20:34:23
286	54622.77	66.97065	2.536918	 	20:34:23
287	57223.68	66.84867	3.016068	 	20:34:23
288	59948.43	66.70274	3.52317	 	20:34:23
289	62802.91	66.55373	4.03125	 	20:34:23
290	65793.32	66.48656	4.593828	 	20:34:24
291	68926.12	66.37959	-354.8335	 	20:34:24
292	72208.09	66.34261	5.742018	 	20:34:24
293	75646.34	66.29491	6.303502	 	20:34:24
294	79248.29	66.23884	6.916433	 	20:34:24
295	83021.76	66.21693	7.597095	 	20:34:24
296	86974.9	66.24958	8.247849	 	20:34:25
297	91116.27	66.2849	8.951004	 	20:34:25
298	95454.84	66.41443	9.71959	 	20:34:25
299	100000	66.44769	10.36094	 	20:34:25
300	1000	92.85097	-18.98968	 	20:34:25
301	1047.616	92.07444	-18.57295	 	20:34:25
302	1097.499	91.43478	-18.36735	 	20:34:26
303	1149.757	90.80878	-17.73405	 	20:34:26
