Sample	Magnitude	Phase	Marker	Hours
0.0327999999999999	258.853241	122.216553	 	17:32:39
0.0329999999999999	258.211151	136.726196	 	17:32:40
0.0331999999999999	260.353607	152.056961	 	17:32:40
0.0333999999999999	260.249878	166.444336	 	17:32:40
0.0335999999999999	260.030762	-179.118591	 	17:32:40
0.0337999999999999	260.848602	-164.20546	 	17:32:40
0.0339999999999999	256.400085	-149.534454	 	17:32:40
0.0341999999999999	259.516846	-135.468353	 	17:32:40
0.0343999999999999	257.419891	-120.849243	 	17:32:40
0.0345999999999999	257.963165	-105.975906	 	17:32:40
0.0347999999999999	257.095306	-91.560204	 	17:32:40
0.0349999999999999	259.788361	-76.873138	 	17:32:40
0.0351999999999999	259.422424	-62.447189	 	17:32:40
0.0353999999999999	256.222565	-47.530766	 	17:32:40
0.0355999999999999	257.947662	-33.135612	 	17:32:41
0.0357999999999999	259	-18.924646	 	17:32:41
0.0359999999999999	258.698669	-4.211853	 	17:32:41
0.0361999999999999	259.478333	10.660348	 	17:32:41
0.0363999999999999	258.629089	24.682304	 	17:32:41
0.0365999999999999	257.870117	39.492638	 	17:32:41
0.0367999999999999	259.237335	54.102627	 	17:32:41
0.0369999999999999	258.544006	69.392082	 	17:32:41
0.0371999999999999	258.631012	83.561958	 	17:32:41
0.0373999999999999	258.660004	98.224083	 	17:32:41
0.0375999999999999	257.233368	112.876877	 	17:32:41
0.0377999999999999	258.213104	127.446838	 	17:32:42
0.0379999999999999	258.474365	141.755615	 	17:32:42
0.0381999999999999	256.58136	156.33226	 	17:32:42
0.0383999999999999	258.953674	171.337952	 	17:32:42
0.0385999999999999	259.306763	-174.245438	 	17:32:42
0.0387999999999999	258.193726	-159.599792	 	17:32:42
0.0389999999999999	258.549805	-145.080597	 	17:32:42
0.0391999999999999	258.799164	-130.769394	 	17:32:42
0.0393999999999999	258.089142	-115.4729	 	17:32:42
0.0395999999999999	259.069489	-101.35331	 	17:32:42
0.0397999999999999	257.381042	-86.881912	 	17:32:42
0.0399999999999999	319.32605	-72.263748	Peak	17:32:42
0.0401999999999999	256.320099	-57.425941	 	17:32:43
0.0403999999999999	259.048248	-42.496864	 	17:32:43
0.0405999999999999	258.660004	-28.645819	 	17:32:43
0.0407999999999999	257.573303	-13.928341	 	17:32:43
0.0409999999999999	256.017578	0.671404	 	17:32:43
0.0411999999999999	257.153656	15.333286	 	17:32:43
0.0413999999999999	262.230804	30.476622	 	17:32:43
0.0415999999999999	258.804932	44.686913	 	17:32:43
0.0417999999999999	259.306763	58.884666	 	17:32:43
0.0419999999999999	257.846863	73.322037	 	17:32:43
0.0421999999999999	261.093842	88.463699	 	17:32:43
0.0423999999999999	257.390747	102.794403	 	17:32:43
0.0425999999999999	262.545227	117.443451	 	17:32:43
0.0427999999999999	258.44342	132.020187	 	17:32:43
0.0429999999999999	259.880737	146.615662	 	17:32:44
0.0431999999999998	258.358276	161.494919	 	17:32:44
0.0433999999999998	257.701385	175.77182	 	17:32:44
0.0435999999999998	259.478333	-169.339645	 	17:32:44
0.0437999999999998	257.235291	-154.929276	 	17:32:44
0.0439999999999998	257.099213	-140.365631	 	17:32:44
0.0441999999999998	257.256683	-125.667137	 	17:32:44
0.0443999999999998	256.456635	-111.262077	 	17:32:44
0.0445999999999998	258.520782	-96.217819	 	17:32:44
0.0447999999999998	257.528625	-81.964294	 	17:32:45
0.0449999999999998	260.386261	-67.177017	 	17:32:45
0.0451999999999998	258.600067	-53.174416	 	17:32:45
0.0453999999999998	258.474365	-38.244373	 	17:32:45
0.0455999999999998	256.984436	-23.871941	 	17:32:45
0.0457999999999998	259.106171	-8.880659	 	17:32:45
0.0459999999999998	260.019226	5.07473	 	17:32:45
0.0461999999999998	256.563843	20.059425	 	17:32:45
0.0463999999999998	259.123535	35.100708	 	17:32:45
0.0465999999999998	261.619965	49.184921	 	17:32:45
0.0467999999999998	259.393524	63.928871	 	17:32:45
0.0469999999999998	257.309143	78.340714	 	17:32:45
0.0471999999999998	258.379578	93.106033	 	17:32:45
0.0473999999999998	259.632446	107.946449	 	17:32:46
0.0475999999999998	259.387726	122.403427	 	17:32:46
0.0477999999999998	258.990356	137.190567	 	17:32:46
0.0479999999999998	258.182098	151.548935	 	17:32:46
0.0481999999999998	258.544006	166.125015	 	17:32:46
0.0483999999999998	258.017456	-179.333801	 	17:32:46
0.0485999999999998	258.822327	-164.997269	 	17:32:46
0.0487999999999998	257.992249	-150.255112	 	17:32:46
0.0489999999999998	258.102692	-135.470917	 	17:32:46
0.0491999999999998	257.596588	-121.345222	 	17:32:46
0.0493999999999998	257.279999	-106.251297	 	17:32:46
0.0495999999999998	258.156921	-91.997879	 	17:32:46
0.0497999999999998	257.171143	-77.422867	 	17:32:46
0.0499999999999998	258.961395	-62.643345	 	17:32:46
0.0501999999999998	257.94574	-48.772285	 	17:32:47
0.0503999999999998	259.046326	-33.506031	 	17:32:47
0.0505999999999998	258.05426	-18.996655	 	17:32:47
0.0507999999999998	259.849945	-4.635463	 	17:32:47
