Sample	Frequency	Magnitude	Phase	Marker	Timestamp
17.2	2848.036	1086.598	-0.01208483	 	19:34:50
17.3	2983.647	1086.597	-0.01685974	 	19:34:50
17.4	3125.716	1086.731	-0.01530995	 	19:34:50
17.5	3274.549	1086.709	-0.02152392	 	19:34:50
17.6	3430.469	1086.597	-0.02101667	 	19:34:50
17.7	3593.814	1086.676	-0.02519409	 	19:34:50
17.8	3764.936	1086.639	-0.02528465	 	19:34:50
17.9	3944.206	1086.722	-0.02658468	 	19:34:50
18	4132.012	1086.606	-0.03157555	 	19:34:50
18.1	4328.761	1086.687	-0.03747533	 	19:34:50
18.2	4534.878	1086.696	-0.04319445	 	19:34:51
18.3	4750.81	1086.653	-0.03965763	 	19:34:51
18.4	4977.023	1086.675	-0.04494991	 	19:34:51
18.5	5214.008	1086.742	-0.04727362	 	19:34:51
18.6	5462.277	1086.647	-0.0507068	 	19:34:51
18.7	5722.368	1086.677	-0.0531981	 	19:34:51
18.8	5994.842	1086.71	-0.06209274	 	19:34:51
18.9	6280.292	1086.697	-0.05754162	 	19:34:51
19	6579.332	1086.736	-0.06352731	 	19:34:51
19.1	6892.612	1086.671	-0.06570982	 	19:34:51
19.2	7220.809	1086.763	-0.07009636	 	19:34:51
19.3	7564.633	1086.793	-0.07745543	 	19:34:52
19.4	7924.829	1086.789	-0.07631842	 	19:34:52
19.5	8302.176	1086.633	-0.08530538	 	19:34:52
19.6	8697.49	1086.711	-0.09376716	 	19:34:52
19.7	9111.628	1086.814	-0.09609093	 	19:34:52
19.8	9545.484	1086.815	-0.1029657	 	19:34:52
19.9	10000	1086.782	-0.1114349	 	19:34:52
20	100	1092.141	0.9857608	 	19:34:52
20.1	104.7616	1149.25	-357.8534	Peak	19:34:52
20.2	109.7499	1388.112	-1.8257	Peak	19:34:52
20.3	114.9757	1234.351	-5.545288	Peak	19:34:52
20.4	120.4504	1160.76	-17.92899	Peak	19:34:52
20.5	126.1857	1019.183	-6.399811	 	19:34:52
20.6	132.1941	949.3535	-1.990021	 	19:34:53
20.7	138.4886	1064.566	0.6006912	 	19:34:53
20.8	145.0829	1086.656	0.0853142	 	19:34:53
20.9	151.9911	1092.586	0.366872	 	19:34:53
21	159.2283	1145.785	-0.3625731	 	19:34:53
21.1	166.8101	1110.112	-1.82507	 	19:34:53
21.2	174.7528	1054.593	-3.233924	 	19:34:53
21.3	183.0738	1070.739	-0.1033173	 	19:34:53
21.4	191.791	1084.363	0.1664701	 	19:34:53
21.5	200.9233	1088.62	0.1157432	 	19:34:53
21.6	210.4904	1108.021	-0.4711877	 	19:34:53
21.7	220.5131	1086.08	-0.7720212	 	19:34:53
21.8	231.013	1074.248	-0.08690162	 	19:34:54
21.9	242.0128	1086.541	0.01435057	 	19:34:54
22	253.5365	1091.879	0.1238411	 	19:34:54
22.1	265.6088	1089.365	-0.3050922	 	19:34:54
22.2	278.256	1079.907	-0.1388215	 	19:34:54
22.3	291.5053	1086.573	0.01679742	 	19:34:54
22.4	305.3856	1090.499	0.00459461	 	19:34:54
22.5	319.9267	1086.054	-0.1470066	 	19:34:54
22.6000000000001	335.1603	1085.923	0.04139225	 	19:34:54
22.7000000000001	351.1192	1087.511	0.02079107	 	19:34:54
22.8000000000001	367.838	1085.537	-0.1612365	 	19:34:54
22.9000000000001	385.3528	1086.347	0.02782273	 	19:34:54
23.0000000000001	403.7017	1088.056	0.02349528	 	19:34:55
23.1000000000001	422.9243	1086.186	-0.01436228	 	19:34:55
23.2000000000001	443.0621	1086.563	0.03322016	 	19:34:55
23.3000000000001	464.1589	1086.599	-0.02438115	 	19:34:55
23.4000000000001	486.2602	1086.536	0.01204338	 	19:34:55
