Sample	Frequency	Magnitude	Phase	Marker	Timestamp
145	8111.308	5015.169	0.1770173	 	19:11:5
146	8497.534	5015.13	0.1811405	 	19:11:5
147	8902.15	5015.569	0.1875251	 	19:11:5
148	9326.033	5015.98	0.1864148	 	19:11:5
149	9770.1	5016.858	0.1916913	 	19:11:5
150	10235.31	5017.187	0.1972521	 	19:11:5
151	10722.67	5017.177	0.198982	 	19:11:6
152	11233.24	5017.156	0.204683	 	19:11:6
153	11768.12	5017.232	0.2080228	 	19:11:6
154	12328.47	5017.739	0.2110555	 	19:11:6
155	12915.5	5017.996	0.2154739	 	19:11:6
156	13530.48	5018.298	0.2203222	 	19:11:6
157	14174.74	5018.395	0.2270712	 	19:11:7
158	14849.68	5019.374	0.2285622	 	19:11:7
159	15556.76	5019.617	0.2305442	 	19:11:7
160	16297.51	5019.311	0.2411658	 	19:11:7
161	17073.53	5019.824	0.2486548	 	19:11:7
162	17886.5	5019.784	0.2565985	 	19:11:7
163	18738.17	5020.515	0.2548305	 	19:11:8
164	19630.41	5020.917	0.2665393	 	19:11:8
165	20565.12	5021.247	0.27071	 	19:11:8
166	21544.35	5021.784	0.2728771	 	19:11:8
167	22570.2	5022.121	0.2801744	 	19:11:8
168	23644.89	5022.589	0.2837748	 	19:11:8
169	24770.76	5023.818	0.2923272	 	19:11:9
170	25950.24	5024.559	0.298956	 	19:11:9
171	27185.88	5025.478	0.3093595	 	19:11:9
172	28480.36	5029.091	0.2915548	 	19:11:9
173	29836.47	5032.071	0.2907638	 	19:11:9
174	31257.16	5032.526	0.2985384	 	19:11:9
175	32745.49	5032.896	0.3026962	 	19:11:10
176	34304.69	5032.816	0.3155684	 	19:11:10
177	35938.14	5034.176	0.321414	 	19:11:10
178	37649.36	5034.441	0.3293279	 	19:11:10
179	39442.06	5034.425	0.3446862	 	19:11:10
180	41320.12	5035.014	0.3461879	 	19:11:10
181	43287.61	5034.317	0.3606189	 	19:11:10
182	45348.79	5035.005	0.3803235	 	19:11:11
183	47508.1	5035.093	0.389014	 	19:11:11
184	49770.23	5035.438	0.3919206	 	19:11:11
185	52140.08	5032.981	0.4446898	 	19:11:11
186	54622.77	5035.426	0.4332675	 	19:11:11
187	57223.68	5036.651	0.4394489	 	19:11:11
188	59948.43	5037.01	0.4539213	 	19:11:12
189	62802.91	5036.932	0.4809818	 	19:11:12
190	65793.32	5036.77	0.4948477	 	19:11:12
191	68926.12	5036.967	0.5006201	 	19:11:12
192	72208.09	5038.298	0.526095	 	19:11:12
193	75646.34	5037.747	0.5405641	 	19:11:12
194	79248.29	5037.812	0.556888	 	19:11:13
195	83021.76	5037.562	0.5734522	 	19:11:13
196	86974.9	5037.747	0.6103523	 	19:11:13
197	91116.27	5038.406	0.6270335	 	19:11:13
198	95454.84	5038.978	0.6520258	 	19:11:13
199	100000	5034.886	0.7105128	 	19:11:13
200	1000	5005.854	0.04905295	 	19:11:14
201	1047.616	5006.891	0.05549831	 	19:11:14
202	1097.499	5006.332	0.05363248	 	19:11:14
203	1149.757	5006.066	0.05612057	 	19:11:14
204	1204.504	5006.425	0.06617183	 	19:11:14
205	1261.857	5005.993	0.06538115	 	19:11:14
206	1321.941	5006.061	0.05605514	 	19:11:15
207	1384.886	5007.223	0.06423442	 	19:11:15
208	1450.829	5005.739	0.0706177	 	19:11:15
209	1519.911	5006.129	0.07529634	 	19:11:15
210	1592.283	5006.752	0.06825636	 	19:11:15
211	1668.101	5006.879	0.07530742	 	19:11:15
212	1747.528	5006.708	0.08506764	 	19:11:16
213	1830.738	5006.506	0.08680101	 	19:11:16
214	1917.91	5006.707	0.07821655	 	19:11:16
215	2009.233	5006.521	0.08672153	 	19:11:16
216	2104.904	5007.547	0.0890791	 	19:11:16
217	2205.131	5007.339	0.09438796	 	19:11:16
218	2310.13	5007.215	0.09544578	 	19:11:17
219	2420.128	5007.793	0.09969541	 	19:11:17
220	2535.365	5007.626	0.1022087	 	19:11:17
221	2656.088	5008.161	0.109272	 	19:11:17
222	2782.559	5008.366	0.1079283	 	19:11:17
223	2915.053	5008.641	0.1148228	 	19:11:17
224	3053.855	5008.556	0.1188288	 	19:11:17
225	3199.267	5008.879	0.1119039	 	19:11:18
226	3351.603	5008.939	0.1208139	 	19:11:18
227	3511.192	5009.213	0.1305225	 	19:11:18
228	3678.38	5009.996	0.1276903	 	19:11:18
229	3853.529	5010.43	0.1365059	 	19:11:18
230	4037.017	5010.009	0.1385489	 	19:11:19
231	4229.243	5010.591	0.1374642	 	19:11:19
232	4430.622	5010.267	0.1376826	 	19:11:19
233	4641.589	5011.278	0.1422909	 	19:11:19
234	4862.602	5011.751	0.1484886	 	19:11:19
235	5094.138	5011.94	0.1500929	 	19:11:19
236	5336.699	5012.429	0.1521038	 	19:11:19
237	5590.81	5012.36	0.1602724	 	19:11:20
238	5857.021	5012.529	0.1569964	 	19:11:20
239	6135.907	5013.258	0.1588864	 	19:11:20
240	6428.073	5013.313	0.1597098	 	19:11:20
241	6734.151	5013.695	0.1646913	 	19:11:20
242	7054.802	5014.257	0.1728937	 	19:11:20
243	7390.722	5014.489	0.168194	 	19:11:21
244	7742.637	5014.609	0.1723613	 	19:11:21
245	8111.308	5015.214	0.1757059	 	19:11:21
246	8497.534	5015.292	0.1804097	 	19:11:21
247	8902.15	5016.08	0.1903528	 	19:11:21
248	9326.033	5016.089	0.1870705	 	19:11:21
249	9770.1	5016.858	0.1916913	 	19:11:22
250	10235.31	5016.71	0.1937687	 	19:11:22
251	10722.67	5017.246	0.1978311	 	19:11:22
252	11233.24	5017.156	0.204683	 	19:11:22
253	11768.12	5017.31	0.2069436	 	19:11:22
254	12328.47	5017.739	0.2110555	 	19:11:22
255	12915.5	5017.996	0.2134965	 	19:11:23
256	13530.48	5018.215	0.2192875	 	19:11:23
257	14174.74	5018.489	0.2261799	 	19:11:23
258	14849.68	5019.374	0.2285622	 	19:11:23
259	15556.76	5018.835	0.2286283	 	19:11:23
260	16297.51	5019.697	0.2460835	 	19:11:23
261	17073.53	5019.824	0.2486548	 	19:11:24
262	17886.5	5019.8	0.2534703	 	19:11:24
263	18738.17	5020.474	0.2535071	 	19:11:24
264	19630.41	5021.465	0.2648402	 	19:11:24
265	20565.12	5021.247	0.27071	 	19:11:24
266	21544.35	5021.768	0.2714811	 	19:11:24
267	22570.2	5022.149	0.2866752	 	19:11:25
268	23644.89	5022.586	0.285187	 	19:11:25
269	24770.76	5023.818	0.2923272	 	19:11:25
270	25950.24	5024.559	0.298956	 	19:11:25
271	27185.88	5025.522	0.3026812	 	19:11:25
272	28480.36	5028.874	0.2976542	 	19:11:25
273	29836.47	5032.24	0.2901388	 	19:11:25
274	31257.16	5032.526	0.2985384	 	19:11:26
275	32745.49	5032.896	0.3026962	 	19:11:26
276	34304.69	5032.906	0.3145507	 	19:11:26
277	35938.14	5034.197	0.3193786	 	19:11:26
278	37649.36	5034.551	0.3285766	 	19:11:26
279	39442.06	5034.195	0.3384502	 	19:11:26
280	41320.12	5035.05	0.3476017	 	19:11:27
281	43287.61	5034.17	0.3593621	 	19:11:27
282	45348.79	5034.875	0.3803166	 	19:11:27
283	47508.1	5035.093	0.389014	 	19:11:27
284	49770.23	5035.234	0.3985391	 	19:11:27
285	52140.08	5032.688	0.4474629	 	19:11:27
286	54622.77	5035.368	0.4366553	 	19:11:28
287	57223.68	5036.179	0.4419077	 	19:11:28
288	59948.43	5037.033	0.4574593	 	19:11:28
289	62802.91	5036.979	0.4824981	 	19:11:28
290	65793.32	5037.392	0.4908861	 	19:11:28
291	68926.12	5036.982	0.4989809	 	19:11:28
292	72208.09	5038.252	0.5223657	 	19:11:29
293	75646.34	5037.747	0.5405641	 	19:11:29
294	79248.29	5037.708	0.5556039	 	19:11:29
295	83021.76	5037.562	0.5734522	 	19:11:29
296	86974.9	5038.317	0.5987137	 	19:11:29
297	91116.27	5037.719	0.6192471	 	19:11:29
298	95454.84	5038.85	0.655639	 	19:11:30
299	100000	5034.886	0.7105128	 	19:11:30
300	1000	5005.72	0.05117032	 	19:11:30
301	1047.616	5006.891	0.05549831	 	19:11:30
302	1097.499	5006.198	0.05553127	 	19:11:30
303	1149.757	5005.799	0.05974057	 	19:11:30
304	1204.504	5006.907	0.060011	 	19:11:31
305	1261.857	5005.993	0.06538115	 	19:11:31
306	1321.941	5005.792	0.0560688	 	19:11:31
307	1384.886	5006.347	0.0708597	 	19:11:31
308	1450.829	5006.353	0.06427928	 	19:11:31
